Summary,Issue Type,Parent,Description,Epic Link,Assignee,Labels,Story Points
Test centralized workflows in notebook-ci-testing for jdat_notebooks,Story,,"Acceptance Criteria:
- Workflow caller is set up in notebook-ci-testing for jdat_notebooks.
- Both PR and main branch CI run successfully, including docs-only and full CI paths.
- Notebook execution and documentation build are validated.
- All test results and issues are documented.",SPB-2592,gough,"NotebookCICD, bromine",
Set up workflow caller in notebook-ci-testing for jdat_notebooks,Task,Test centralized workflows in notebook-ci-testing for jdat_notebooks,Set up the workflow caller for jdat_notebooks.,,gough,"NotebookCICD, bromine",5
Run PR and main branch CI tests (full and docs-only paths) for jdat_notebooks,Task,Test centralized workflows in notebook-ci-testing for jdat_notebooks,Run PR and main branch CI tests for jdat_notebooks.,,gough,"NotebookCICD, bromine",5
Validate notebook execution and documentation build for jdat_notebooks,Task,Test centralized workflows in notebook-ci-testing for jdat_notebooks,Validate notebook execution and documentation build.,,gough,"NotebookCICD, bromine",5
Document test results and issues for jdat_notebooks,Task,Test centralized workflows in notebook-ci-testing for jdat_notebooks,Document test results and issues.,,gough,"NotebookCICD, bromine",5

Test centralized workflows in notebook-ci-testing for hst_notebooks,Story,,"Acceptance Criteria:
- Workflow caller is set up in notebook-ci-testing for hst_notebooks.
- PR and main branch CI run successfully, including micromamba/conda logic.
- HST-specific environment setup and notebook execution are validated.
- All test results and issues are documented.",SPB-2592,gough,"NotebookCICD, bromine",
Set up workflow caller in notebook-ci-testing for hst_notebooks,Task,Test centralized workflows in notebook-ci-testing for hst_notebooks,Set up the workflow caller for hst_notebooks.,,gough,"NotebookCICD, bromine",5
Run PR and main branch CI tests (including micromamba/conda logic) for hst_notebooks,Task,Test centralized workflows in notebook-ci-testing for hst_notebooks,Run PR and main branch CI tests for hst_notebooks.,,gough,"NotebookCICD, bromine",5
Validate HST-specific environment setup and notebook execution,Task,Test centralized workflows in notebook-ci-testing for hst_notebooks,Validate HST-specific environment setup and notebook execution.,,gough,"NotebookCICD, bromine",5
Document test results and issues for hst_notebooks,Task,Test centralized workflows in notebook-ci-testing for hst_notebooks,Document test results and issues.,,gough,"NotebookCICD, bromine",5

Test centralized workflows in notebook-ci-testing for mast_notebooks,Story,,"Acceptance Criteria:
- Workflow caller is set up in notebook-ci-testing for mast_notebooks.
- PR and main branch CI run successfully, including docs-only and full CI paths.
- MAST-specific package installation and notebook execution are validated.
- All test results and issues are documented.",SPB-2592,gough,"NotebookCICD, bromine",
Set up workflow caller in notebook-ci-testing for mast_notebooks,Task,Test centralized workflows in notebook-ci-testing for mast_notebooks,Set up the workflow caller for mast_notebooks.,,gough,"NotebookCICD, bromine",5
Run PR and main branch CI tests (full and docs-only paths) for mast_notebooks,Task,Test centralized workflows in notebook-ci-testing for mast_notebooks,Run PR and main branch CI tests for mast_notebooks.,,gough,"NotebookCICD, bromine",5
Validate MAST-specific package installation and notebook execution,Task,Test centralized workflows in notebook-ci-testing for mast_notebooks,Validate MAST-specific package installation and notebook execution.,,gough,"NotebookCICD, bromine",5
Document test results and issues for mast_notebooks,Task,Test centralized workflows in notebook-ci-testing for mast_notebooks,Document test results and issues.,,gough,"NotebookCICD, bromine",5

